id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
2ovQ5MCx91XVjgVWEPfvks,Homecoming,74,203493,"['Kanye West', 'Chris Martin']","['5K4W6rqBFWDnAN6FQUkS6x', '5esOg4joS5bpE6xBsMLcBi']",11-09-2007,Happy,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe
3UhXPxLDFKCj1ZO6mmtV0a,Apologize,74,208107,['OneRepublic'],['5Pwc4xIPtQLFEnJriah9YJ'],20-11-2007,Happy,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl
7jk7gqyEonmVVYahZN5zhW,Circus,74,192360,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],02-12-2008,Happy,https://open.spotify.com/track/7jk7gqyEonmVVYahZN5zhW
285hMzLhJwHVLe9QT9qilk,Breakeven,74,261427,['The Script'],['3AQRLZ9PuTAozP28Skbq8V'],14-07-2008,Happy,https://open.spotify.com/track/285hMzLhJwHVLe9QT9qilk
2Esf7NTKQNCPE4G17QvVCs,Toes,74,262773,['Zac Brown Band'],['6yJCxee7QumYr820xdIsjo'],17-11-2008,Happy,https://open.spotify.com/track/4S518ci8UY4op0Xyp6Hx6o
2Bhmj4XK33InfhqKPxcJ1v,Dile al Amor,74,229360,['Aventura'],['1qto4hHid1P71emI6Fd8xi'],09-06-2009,Happy,https://open.spotify.com/track/2Bhmj4XK33InfhqKPxcJ1v
22sLuJYcvZOSoLLRYev1s5,Material Girl,74,240280,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],18-09-2009,Happy,https://open.spotify.com/track/22sLuJYcvZOSoLLRYev1s5
0b2IVjeD268pYd7VUhmtKI,Knee Deep (feat. Jimmy Buffett),74,203173,"['Zac Brown Band', 'Jimmy Buffett']","['6yJCxee7QumYr820xdIsjo', '28AyklUmMECPwdfo8NEsV0']",20-09-2010,Happy,https://open.spotify.com/track/60IGhnH20N82dNxKnc8jDd
0AH6WMe3OlAlUb5miXt2FQ,Only Girl (In The World),74,235493,['Rihanna'],['5pKCCKE2ajJHZ9KAiaK11H'],16-11-2010,Happy,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i
0u4N6w5lBw5xMrzJitRWUo,Corazon Sin Cara,74,211453,['Prince Royce'],['3MHaV05u0io8fQbZ2XPtlC'],2010,Happy,https://open.spotify.com/track/0u4N6w5lBw5xMrzJitRWUo
6T689Jvh5KrSXyaPtUWZtQ,Criminal,74,225080,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],28-03-2011,Happy,https://open.spotify.com/track/6T689Jvh5KrSXyaPtUWZtQ
6hIOunhsLUT66KQgZV5dMD,Swing Lynn,74,321464,['Harmless'],['5dYGaoCO0iaUZKfl9K8Gtd'],14-08-2012,Happy,https://open.spotify.com/track/3VCXx37jNGNOMns6z2OnvJ
0NdTUS4UiNYCNn5FgVqKQY,Snap Out Of It,74,193030,['Arctic Monkeys'],['7Ln80lUS6He07XvHI8qqHH'],09-09-2013,Happy,https://open.spotify.com/track/0NdTUS4UiNYCNn5FgVqKQY
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance (feat. Pharrell Williams),74,353893,"['Daft Punk', 'Pharrell Williams']","['4tZwfgrHOc3mvqYlEYSvVi', '2RdwBSPQiwcmiDo9kixcl8']",17-05-2013,Happy,https://open.spotify.com/track/5CMjjywI0eZMixPeqNd75R
